"Iteration: Iteration","D B Mean Monitor: Statistics of D B Monitor (N)","D D Mean Monitor: Statistics of D D Monitor (N)","D FW Mean Monitor: Statistics of D FW Monitor (N)","D RW Mean Monitor: Statistics of D RW Monitor (N)","D S Mean Monitor: Statistics of D S Monitor (N)","D SU Mean Monitor: Statistics of D SU Monitor (N)","D Wheels Front Mean Monitor: Statistics of D Wheels Front Monitor (N)","D Wheels Rear Mean Monitor: Statistics of D Wheels Rear Monitor (N)","Mean D Monitor: Statistics of Drag Monitor (N)"
168,40.8317149523759,5.28844086441468,12.6363485750921,43.1950743819942,19.1751158399848,4.64965986540771,8.49232359099811,6.89007779410501,141.158755864372
169,40.7467196751776,5.28139520090399,12.620175791322,43.1518886631371,19.1093396474649,4.63867954791353,8.46414776170743,6.86901537275515,140.881361660382
170,40.6631511757287,5.27450676603595,12.6043056742524,43.1090566435986,19.044458398965,4.62773073075262,8.43620274431091,6.84824151340698,140.607653647051
171,40.5809932465769,5.26775266137764,12.5887417718766,43.0665077918752,18.980492411135,4.616758314135,8.40846050119384,6.82774809298985,140.33745479116
172,40.5001751051475,5.26111280948114,12.5734818948124,43.024182643187,18.9174417841277,4.60572770028517,8.38092488060481,6.80749574467563,140.070542562321
173,40.4206012998178,5.25456660272201,12.5585144901366,42.9819859230889,18.8552225612357,4.59460248990545,8.35356561070188,6.78750195878892,139.806560936397
174,40.3421883024169,5.24809798540136,12.5438249512313,42.9399143498838,18.7937779119948,4.58339167268664,8.32635524839206,6.76775207270143,139.545302494708
175,40.2648085086341,5.2416799811115,12.529403249746,42.8979087751871,18.733021945517,4.57211516204746,8.29929212418877,6.74826179102527,139.286491537457
176,40.1883287783385,5.23529713815304,12.5152414061899,42.8559489036495,18.6728483689218,4.5607842665108,8.27235902440491,6.729049147953,139.029857034121
177,40.1126515642873,5.22893505438509,12.5013394502362,42.8140193869014,18.6131497386906,4.54940220818044,8.24555716430194,6.71017196176048,138.775226528744
178,40.0376494698312,5.22259477202189,12.4876878884982,42.7721080647812,18.553804031498,4.53799365950061,8.21888841094957,6.6916347830104,138.522361080091
179,39.9632393205906,5.2162500428028,12.4742814399247,42.7302018072708,18.494707662706,4.52655658128163,8.19240783545694,6.67347567161648,138.27112036165
