"Iteration: Iteration","DF B Mean Monitor: Statistics of DF B Monitor (N)","DF D Mean Monitor: Statistics of DF D Monitor (N)","DF FW Mean Monitor: Statistics of DF FW Monitor (N)","DF RW Mean Monitor: Statistics of DF RW Monitor (N)","DF S Mean Monitor: Statistics of DF S Monitor (N)","DF SU Monitor: Force (N)","DF Wheels Front Mean Monitor: Statistics of DF Wheels Front Monitor (N)","DF Wheels Rear Mean Monitor: Statistics of DF Wheels Rear Monitor (N)","Mean DF Monitor: Statistics of Downforce Monitor (N)"
93,3.758461943515,50.80479761393,78.9090619132912,119.745477290773,77.9466601970087,-0.502547492548488,-4.51675423116474,-3.44382865633823,322.752805437883
94,3.69401920537745,50.6031651000538,78.9654669824151,119.574360108655,77.6646572683602,-0.571982564478372,-4.50515475909689,-3.44251180212178,322.101645173369
95,3.63081913723038,50.4052164955635,79.0215929875649,119.40683916179,77.3825285033549,-0.632574241755716,-4.493324765335,-3.44049886948746,321.458918696076
96,3.56867256585244,50.211409119969,79.0775474177704,119.243073440042,77.1009195462603,-0.680590240257951,-4.48118778278645,-3.43779981198232,320.826022870878
97,3.50701233900497,50.0222781621707,79.1333107215968,119.083217083936,76.8201541295357,-0.708953028369966,-4.46873848551652,-3.43440211936225,320.203618749344
98,3.44571374708431,49.8381988435664,79.1890771687559,118.927415253123,76.5404256000883,-0.711324912901267,-4.45595764751902,-3.43026043912891,319.592826874245
99,3.3844646071977,49.6594797161274,79.2448482934629,118.77598922807,76.2623670575369,-0.691309774940281,-4.44283348732576,-3.42543329207374,318.994778045784
100,3.32304005911225,49.4867603137282,79.300705867465,118.629021662962,75.9863812550939,-0.64936698567082,-4.42931219858271,-3.41998533726764,318.410654916215
101,3.26144105451182,49.3206143076758,79.3566849823827,118.486804377361,75.712894508763,-0.588191747600169,-4.41544974641819,-3.41408750827454,317.841735021771
102,3.19992985465517,49.1615087123698,79.4128195818934,118.349312064509,75.4427693767197,-0.511873151102622,-4.40133536173026,-3.4077919475495,317.289607030589
103,3.13890265590329,49.0102395353825,79.4690951266905,118.216471970529,75.1768087991545,-0.42539101422896,-4.38702077567005,-3.40125206607738,316.756049842586
104,3.07838956784417,48.8678386874376,79.5254389796355,118.088399119985,74.915768143896,-0.336577035449145,-4.3726513952965,-3.39459714262497,316.242646503396
105,3.01929497613111,48.7347779034192,79.5817974629172,117.965026065782,74.6606804216061,-0.253570249852195,-4.35824151954148,-3.38803879261022,315.751379624105
106,2.96158403934903,48.6119851037087,79.6381145180755,117.846341744069,74.412094976481,-0.18593138134532,-4.34392407876564,-3.38159267054702,315.283309243604
107,2.90601570523526,48.499760037578,79.6942762454223,117.732241423758,74.17105168172,-0.140954812017252,-4.3296963229055,-3.37529328454882,314.840054925313
108,2.85260921186457,48.3987452142414,79.7501402009942,117.622617376528,73.9379481820902,-0.120843758755955,-4.31562749899245,-3.36917845419264,314.422078271608
109,2.80191207362383,48.3123874315043,79.8058328960149,117.518047992376,73.7140374944262,-0.134498983668034,-4.30172110041729,-3.36317128237467,314.035091534845
110,2.75327969035316,48.2351658572603,79.8608745561869,117.417083782102,73.4971192199496,-0.169618857923964,-4.28799567279048,-3.35725484976758,313.668607841279
111,2.70662491469992,48.1671679554046,79.9151564612205,117.319663472427,73.2869225034218,-0.230401133101137,-4.27439868179112,-3.35132742984746,313.322119801349
112,2.66242517421078,48.1112260683145,79.9686791214727,117.226105647457,73.0840246787263,-0.326522491520286,-4.26082600617814,-3.34531590982488,312.999711227336
113,2.61949340585693,48.0627148122697,80.0213078725246,117.135208925666,72.8861404365877,-0.406740995696702,-4.24727987706551,-3.33920770254726,312.692123127788
114,2.57755471546419,48.0211152227325,80.0730944354769,117.046630841901,72.6925331436257,-0.499928147305478,-4.23367731642174,-3.33291455561386,312.397610922346
115,2.53588730513108,47.987349809874,80.1240818407572,116.960329864191,72.5024381766612,-0.61252445171392,-4.21984141322493,-3.32627876421595,312.115799524904
116,2.49403909723233,47.9578632021557,80.1742725171248,116.875626839722,72.3150568556559,-0.676431375367028,-4.20599695002991,-3.31946121878219,311.841265255007
117,2.45147487461527,47.9320812304052,80.2237070010701,116.792139364758,72.129685696339,-0.736835852715391,-4.19206609799445,-3.31237395365415,311.572062593581
118,2.40716064838181,47.9101596155722,80.2724634092733,116.709257560187,71.9451285994532,-0.789253608197494,-4.17794637553001,-3.3049619766017,311.305822839403
119,2.36154524330397,47.890277266872,80.3205400290099,116.626990063141,71.761981602647,-0.802733054786071,-4.16383968719344,-3.29742890561033,311.041708530389
120,2.31438077583927,47.8720132218749,80.3680077201113,116.545038421913,71.5796984183074,-0.794890938808011,-4.14968706837257,-3.28980773523258,310.778482223851
121,2.26580381481429,47.8548625775506,80.4149479882579,116.463138776178,71.3981310551733,-0.770555518804181,-4.1354921107549,-3.28220709684637,310.515466498674
122,2.21585150434471,47.8386077306796,80.4615823689193,116.380678279864,71.2167941038122,-0.723191348427663,-4.12107090440717,-3.27471473718056,310.251883013753
123,2.16576289394173,47.8225523848314,80.5078012198969,116.298285008936,71.0368455326711,-0.682885995343913,-4.10652857920191,-3.26739848732449,309.989710083235
124,2.11571914289692,47.8064012389358,80.5536895118294,116.215700849887,70.8583677331145,-0.634566965770863,-4.09186081886447,-3.26026288604205,309.728798453216
125,2.06658219935822,47.789323151218,80.5995969639679,116.132120843917,70.6812622359219,-0.581525769342294,-4.07687310884633,-3.25345632167779,309.46869908971
126,2.01857903718848,47.7713175275182,80.6453292786093,116.048403065276,70.5061144638758,-0.551754457521535,-4.06177264985133,-3.24696404290006,309.210499824748
127,1.97244499154949,47.7513957975389,80.6911961333905,115.963857896843,70.3326111812484,-0.521925776573783,-4.04648973700862,-3.24093581401507,308.953168721179
128,1.92819652423683,47.73007149585,80.7369700893913,115.879254678724,70.1613986058921,-0.515941762086046,-4.03118053507688,-3.23527867708181,308.698168656431
129,1.88671445795342,47.7065550843753,80.7830403784626,115.794018409115,69.9923045723856,-0.527255292134259,-4.01582509853516,-3.23014475211613,308.444965481433
